Noun,Verb,Adjective,Opposite Adjective,Adverb,Opposite Adverb,Difficulty
ability,able,,,ably,unably,Medium
academy,,academic,,academically,,Medium
acceptability,accept,acceptable,,acceptably,,Medium
acceptance,accept,,,acceptably,,Medium
accident,,accidental,,accidentally,,Medium
accompanement,accompany,,,,,Easy
accusal,,accusable ,,,,Easy
achievement,achieve,achievable,,achievably,,Medium
acquintance,acquaint,acquainted,unacquainted,,,Medium
action,act,active,inactive,actively,inactively,Hard
activity,act,active,inactive,actively,inactively,Hard
addiction,addict,"addictive, addicted",,,,Medium
addition,add,,,,,Easy
adequacy,,adequate,inadequate,adequately,inadequately,Hard
admiration,admire,"admired, admiring",,,,Medium
admission,admit,,,,,Easy
admittance,admit,,,,,Easy
adventure,,adventurous,,,,Easy
advertisement,advertise,,,,,Easy
advice,advise,advisable,,,,Medium
advisability,,advisable,,,,Easy
agreement,agree,agreeable,disagreeable,,,Medium
aim,aim,aimful,aimless,,aimlessly,Hard
allowance,allow,,,,,Easy
amazement,amaze,amazing,,amazingly,,Medium
ambition,,ambitious,,ambitiously,,Medium
America,,american,,,,Easy
amusement,amuse,amusing,,amusimgly,,Medium
analysis,analyse,,,,,Easy
anger,,angry,,angrily,,Medium
announcement,announce,,,,,Easy
annoyance,annoy,annoying,,,,Medium
anxiety,,anxious,,anxiously,,Medium
apology,apologise,apologizing,,apologizingly,,Medium
appearance,appear,,,,,Easy
application,apply,,,,,Easy
appointment,appoint,,,,,Easy
approval,aprove,aproving,disaproving,aprovingly,disaprovingly,Hard
argiculture,,agricultural,,,,Easy
argument,argue,,,,,Easy
arrangement,arrange,,,,,Easy
art,,artistic,,artistically,,Medium
assistance,assist,,,,,Easy
assumption,,,,,,Easy
astonishment,astonish,astonishing,,,,Medium
attendance,attend,,,,,Easy
attraction,attract,attractive,,,,Medium
Australia,,australian,,,,Easy
automation,,automatic,,automatically,,Medium
avoidance,avoid,,,,,Easy
bearing,bear,,unbearable,,,Medium
beauty,beautify,beautiful,,beautifully,,Medium
beginner,begin,,,,,Easy
behaviour,behave,,,,,Easy
belief,believe,believable,unbelievable,,,Medium
benefit,benefit,beneficial,,,,Medium
blackness,blacken,black,,,,Medium
blood,bleed,bloody,,,,Medium
boredom,,"boring, bored",,,,Easy
bravery,,brave,,bravely,,Medium
breath,breathe,,,,,Easy
brightness,brighten,bright,,brightly,,Medium
builder,build,,,,,Easy
building,build,,,,,Easy
burglary,burgle,,,,,Easy
calculator,calculate,,,,,Easy
caution,,cautious,uncautious,cautiously,uncautiously,Hard
celebration,celebrate,,,,,Easy
centre,,central,,,,Easy
change,change,changeable,,,,Medium
character,characterise,characteristic,,,,Medium
charm,charm,charming,,charmingly,,Medium
chemistry,,chemical,,,,Easy
child,,childish,,childishly,,Medium
choice,choose,,,,,Easy
classification,classify,,,,,Easy
climate,,climatic,,,,Easy
cloud,,cloudy,,,,Easy
co-operation,co-operate,,,,,Easy
collection,collect,collective,,,,Medium
colour,colour,colourful,colourless,colourfully,,Hard
combination,combine,,,,,Easy
comedy,,comical,,comically,,Medium
comfort,comfort,comfortable,uncomfortable,comfortably,,Hard
commerce,,commercial,,commercially,,Medium
commitment,commit,,,,,Easy
comparison,compare,,,,,Easy
competition,compete,,,,,Easy
complaint,complain,,,,,Easy
completion,complete,,,,,Easy
conclusion,conclude,,,,,Easy
confidence,,confident,,,,Easy
connection,connect,connected,,,,Medium
consciousness,,conscious,unconscious,consciously,unconsciously,Hard
conservation,conserve,,,,,Easy
consideration,consider,considerate,,considerately,,Medium
construction,construct,,,,,Easy
consumption,,,,,,Easy
container,contain,,,,,Easy
contribution,contribute,,,,,Easy
convention,,,,,,Easy
cooker,cook,cookery,,,,Medium
correction,correct,correct,incorrect,correctly,incorrectly,Hard
correspondense,correspond,,,,,Easy
courage,,courageous,,courageously,,Medium
creation,create,creative,,creatively,,Medium
creativity,create,creative,,creatively,,Medium
crime,,criminal,,,,Easy
crisps,crisp,crispy,,,,Medium
criticism,criticise,critical,,,,Medium
culture,,cultural,,culturally,,Medium
cure,cure,,,,,Easy
curiosity,,curious,,curiously,,Medium
cyclist,cycle,,,,,Easy
danger,,dangerous,,dangerously,,Medium
darkness,darken,dark,,,,Medium
deafness,deafen,deaf,,deafly,,Medium
death,die,dead,,,,Medium
decision,decide,decisive,indecisive,decisively,indecisively,Hard
decoration,decorate,"decorative, decorated",,,,Medium
defence,defend,,,,,Easy
delight,delight,delightful,,delightfully,,Medium
delivery,deliver,,,,,Easy
democrat,,democratic,,,,Easy
demonstration,demonstrate,,,,,Easy
denial,deny,,,,,Easy
departure,depart,,,,,Easy
dependence,depend,dependent,independent,dependently,independently,Hard
depression,depress,depressive,,depressively,,Medium
depth,deepen,deep,,deeply,,Medium
description,describe,descriptive,,,,Medium
design,design,,,,,Easy
desire,desire,desirable,,,,Medium
desperation,desperate,desperately,,,,Medium
destruction,destruct,destructive,,destructively,,Medium
development,develop,"developed, developing",,,,Medium
dictation,dictate,,,,,Easy
difference,differ,different,indifferent,differently,indifferently,Hard
difficulty,,difficult,,,,Easy
diplomacy,,diplomatic,,diplomatically,,Medium
direction,direct,,,directly,,Medium
disaster,,disastrous,,,,Easy
discovery,discover,,,,,Easy
discussion,discuss,discussable,,,,Medium
distance,,distant,,distantly,,Medium
disturbance,disturb,"disturbed, disturbing",,,,Medium
diversity,,diverse,,diversly,,Medium
dominance,,dominant,,,,Easy
doubt,doubt,doubtful,"doubtless, undoubtful",doubtfully,undoubtfully,Hard
drama,dramatise,dramatic,,dramaticallly,,Medium
drive,drive,,,,,Easy
ease,ease,easy,,easily,,Medium
eater,eat,eatable,uneatable,,,Medium
ecology,,ecological,,ecologically,,Medium
economy,economise,economical,,economically,,Medium
editor,edit,editable,,,,Medium
education,educate,"educational, educated",,educationally,,Medium
effect,,effective,,effectively,,Medium
election,elect,"elective, elected",,,,Medium
electrician,,electrical,,,,Easy
electricity,,electrical,,,,Easy
embarrassment,embarrass,"embarrassing, embarrassed",,,,Medium
emphasis,emphasise,emphasized,,,,Medium
employer,employ,employed,unemployed,,,Medium
employment,employ,employed,unemployed,,,Medium
end,end,,endless,,endlessly,Medium
energy,,energetic,,energetically,,Medium
enjoyment,enjoy,enjoyable,,,,Medium
entertainment,entertain,entertaining,,,,Medium
enthusiast,,enthusiastic,,enthusiastically,,Medium
entrance,enter,,,,,Easy
environment,,environmental,,environmentally,,Medium
envy,envy,envious,,,,Medium
essence,,essential,,essentially,,Medium
examination,examine,"examined, examining",,,,Medium
excellence,,excellent,,excellentally,,Medium
excess,,excessive,,excessivelly,,Medium
excitement,excite,"exciting, excited",,excitingly,,Medium
exhaustion,exhaust,"exhausted, exhausting",,,,Medium
exhibition,exhibit,,,,,Easy
existence,exist,existing,,,,Medium
expansion,expand,expanding,,,,Medium
expectation,expect,expected,,,,Medium
experiment,experiment,experimental,,experimentally,,Medium
exploration,explore,"exploring, explored",,,,Medium
expression,express,expressive,,,,Medium
extention,extend,,,,,Easy
fame,,famous,"infamous, unfamous",,,Medium
familiarity,familiarise,familiar,unfamiliar,,,Medium
fashion,,fashinable,unfashionable,,,Medium
favour,,"favourite, favourable",unfavourable,,,Medium
feeling,feel,,,,,Easy
fertilisation,fertilise,fertile,,,,Medium
fight,fight,fighting,,,,Medium
finance,finance,financial,,financially,,Medium
fishing,fish,,,,,Easy
fitness,fit,"fit, fitting",,,,Medium
fluency,,fluent,,fluently,,Medium
fog,,foggy,,,,Easy
foolishness,fool,foolish,,foolishly,,Medium
forgery,forge,,,,,Easy
forgetfulness,forget,forgetful,,forgetfully,,Medium
fortune,,fortunate,unfortunate,fortunately,unfortunately,Hard
freedom,free,free,,freely,,Medium
freezer,freeze,frozen,,,,Medium
frequency,,frequent,,freauently,,Medium
freshness,freshen,fresh,,freshly,,Medium
friend,,friendly,,friendly,,Medium
fright,frighten,"frightening, frightened",,,,Medium
fun,,funny,,,,Easy
fury,,furious,,furiously,,Medium
generalisation,generalise,general,,generally,,Medium
globe,,global,,globally,,Medium
government,govern,,,,,Easy
graciousness,,gracious,,graciously,,Medium
greatness,,great,,greatly,,Medium
greed,,greedy,,greedily,,Medium
growth,grow,"growing, grown",,,,Medium
guarantee,guarantee,,,,,Easy
guidance,guide,"guided, guiding",,,,Medium
guilt,,guilty,unguilty,,,Medium
hair,,hairy,hairless,,,Medium
happiness,,happy,unhappy,happily,unhappily,Hard
hard,harden,hard,,,,Medium
hardness,harden,hard,,,,Medium
harm,harm,harmful,harmless,harmfully,,Hard
hatred,hate,"hated, hating",,,,Medium
health,,healthy,unhealthy,heathily,unhealthily,Hard
heat,heat,hot,,,,Medium
height,,high,,highly,,Medium
help,help,helpful,helpless,helpfully,unhelpfully,Hard
hero,,heroic,,heroically,,Medium
hesitation,hesitate,hesitating,,,,Medium
history,,"historic, historical",,historically,,Medium
honesty,,honest,dishonest,honestly,,Medium
honour,honour,"honorable, honored",,,,Medium
hope,hope,,,,,Easy
hospitality,,,,,,Easy
human,,,,,,Easy
humor,,,,,,Easy
humour,,,,,,Easy
hunger,,,,,,Easy
hunting,hunt,,,,,Easy
ice,,,,,,Easy
idea,,,,,,Easy
idiom,,,,,,Easy
ignorance,ignore,,,,,Easy
illness,,,,,,Easy
imagination,imagine,,,,,Easy
imitation,imitate,,,,,Easy
immigration,immigrate,,,,,Easy
impression,impress,,,,,Easy
imprisonment,imprison,,,,,Easy
improvement,improve,,,,,Easy
inclusion,include,,,,,Easy
individuality,,,,,,Easy
industry,,,,,,Easy
influence,influence,,,,,Easy
information,inform,,,,,Easy
injury,injury,,,,,Easy
inspiration,inspire,,,,,Easy
instruction,instruct,,,,,Easy
instrument,,,,,,Easy
insurance,insure,,,,,Easy
intellect,,,,,,Easy
intensity,,,,,,Easy
intention,intend,,,,,Easy
interest,interest,,,,,Easy
interference,interfere,,,,,Easy
interpretation,interprete,,,,,Easy
interpreter,interprete,,,,,Easy
interview,interview,,,,,Easy
introduction,introduct,,,,,Easy
intruder,intruse,,,,,Easy
invention,invent,,,,,Easy
investigation,investigate,,,,,Easy
investor,invest,,,,,Easy
invitation,invite,,,,,Easy
irritation,irritate,,,,,Easy
isolation,isolate,,,,,Easy
jewel,,,,,,Easy
job,,,,,,Easy
journal,,,,,,Easy
judgement,judge,,,,,Easy
kindness,,,,,,Easy
king,,,,,,Easy
knowledge,know,,,,,Easy
language,,,,,,Easy
laughter,laugh,,,,,Easy
law,,,,,,Easy
laziness,,,,,,Easy
leader,lead,,,,,Easy
learner,learn,,,,,Easy
legibility,,,,,,Easy
length,lengthen,,,,,Easy
library,,,,,,Easy
life,live,,,,,Easy
light,light,,,,,Easy
likelihood,,,,,,Easy
listenability,listen,,,,,Easy
lock,lock,,,,,Easy
logic,,,,,,Easy
looseness,loose,,,,,Easy
loss,lose,,,,,Easy
loudness,,,,,,Easy
love,love,,,,,Easy
maintenance,maintain,,,,,Easy
majority,,,,,,Easy
management,manage,,,,,Easy
manufacturing,manufacture,,,,,Easy
measurement,measure,,,,,Easy
medicine,,medical,,,,Easy
member,,,,,,Easy
memory,memorise,memorable,,,,Medium
mixer,mix,mixed,,,,Medium
modernity,modernise,modern,,,,Medium
movement,move,,,,,Easy
murder,murder,,,,,Easy
music,,musical,,musically,,Medium
mystery,,mysterious,,mysteriously,,Medium
nation,,national,,,,Easy
nature,,natural,unnatural,naturally,unnaturally,Hard
necessity,,necessary,unnecessary,necessarily,unnecessarily,Hard
neighbour,neighbour,neighbouring,,,,Medium
neighbourhood,neighbour,neighbouring,,,,Medium
nerve,,nervous,,nervously,,Medium
noise,,noisy,,noisily,,Medium
norm,,normal,abnormal,normally,abnormally,Hard
notice,notice,,,,,Easy
nutrition,,nutritious,,,,Easy
obedience,obey,obedient,disobedient,obediently,disobediently,Hard
objection,object,,,,,Easy
,,,,,,Easy
observation,observe,,,,,Easy
occasion,,occasional,,occasionally,,Medium
occupation,occupy,occupied,,,,Medium
offence,offend,offensive,,offensively,,Medium
office,,official,,,,Easy
operation,operate,,,,,Easy
opportunity,,,,,,Easy
opposition,,opposite,,,,Easy
optimism,,optimistic,,optimstically,,Medium
option,opt,optional,,optionally,,Medium
organisation,organise,,,,,Easy
origin,originate,original,,originally,,Medium
owner,own,,,,,Easy
ownership,own,,,,,Easy
pain,,painful,,painfully,,Medium
paint,paint,,,,,Easy
parent,,parential,,,,Easy
participation,participate,,,,,Easy
partner,,,,,,Easy
patriot,,patriotic,,patriotically,,Medium
payment,pay,,,,,Easy
peace,,peaceful,,peacefully,,Medium
perfection,,perfect,imperfect,perfectly,imperfectly,Hard
performance,perform,,,,,Easy
permission,permit,,,,,Easy
persistence,persist,persistent,,persistently,,Medium
person,personalise,personal,impersonal,personally,impersonally,Hard
personality,personalise,peronal,impersonal,personally,impersonally,Hard
persuasion,persuade,persuasive,,,,Medium
pessimism,,pessimistic,,pessimistically,,Medium
photography,photograph,,,,,Easy
physics,,physical,,physically,,Medium
player,play,playful,,playfully,,Medium
pleasure,please,pleasant,unpleasant,pleasantly,unpleasantly,Hard
poison,,poisonous,,,,Easy
policy,,,,,,Easy
pollution,pollute,,,,,Easy
popularity,,popular,unpopular,popularly,,Medium
poverty,,poor,,poorly,,Medium
power,empower,empowered,,,,Medium
practice,practise,,,,,Easy
prediction,predict,predictable,unpredictable,predictably,unpredictably,Hard
preference,prefer,preferable,,,,Medium
preparation,prepare,,,,,Easy
presentation,present,,,,,Easy
prevention ,prevent,preventive,,,,Medium
price,,pricy,priceless,,,Medium
pride,,proud,,proudly,,Medium
privacy,,private,,privately,,Medium
probability,,probable,improbable,probably,improbably,Hard
procedure,procede,,,,,Easy
product,,,,,,Easy
profession,,professional,,professionally,,Medium
promotion,promote,,,,,Easy
proof,prove,,,,,Easy
prosperity,prosper,,,,,Easy
protection,protect,protective,,protectively,,Medium
psychology,, psychological,,psychologically,,Medium
publication,publish,published,,,,Medium
publicity,,public,,,,Easy
punishment,punish,,,,,Easy
pursuer,pursue,,,,,Easy
pursuit,pursue,,,,,Easy
qualification,qualify,qualified,,,,Medium
quietness,,quiet,,quietly,,Medium
rain,rain,rainy,,,,Medium
reaction,react,reactive,,,,Medium
reader,read,,,,,Easy
reality,,real,unreal,really,,Medium
reason,reason,reasonable,,,,Medium
rebellion,rebel,,,,,Easy
reception,,,,,,Easy
recognition,recognise,recognisable,,,,Medium
reduction,reduce,,,,,Easy
reference,refer,,,,,Easy
reflection,reflect,,,,,Easy
refreshment,refresh,,,,,Easy
regulation,regulate,regular,irregular,regularly,irregularly,Hard
rejection,reject,,,,,Easy
relation,relate,related,,,,Medium
relationship,relate,related,,,,Medium
relaxation,relax,,,,,Easy
reliablity,rely,reliable,unreliable,,,Medium
relief,relieve,,,,,Easy
religion,,religious,,religiously,,Medium
remark,remark,remarkable,,remarkably,,Medium
repetition,repete,repetitive,,repetitively,,Medium
replacement,replace,,,,,Easy
report,report,,,,,Easy
representation,represent,"representing, represented",,,,Medium
reproduction,reproduce,reproductive,,,,Medium
requirement,require,"requiring, required",,,,Medium
researcher,research,researching,,,,Medium
residence,reside,residential,,,,Medium
resistance,resist,resistable,irresistable,,,Medium
respect,respect,"respectful, respected",,respectfully,,Medium
response,respond,,,,,Easy
responsibility,,responsible,irresponsible,responsibly,irresponsibly,Hard
restriction,restrict,"restricted, restricting",,,,Medium
retirement,retire,retired,,,,Medium
revision,revise,,,,,Easy
riding,ride,,,,,Easy
risk,risk,risky,,,,Medium
robbery,rob,,,,,Easy
Russia,,russian,,,,Easy
sadness,sadden,sad,,sadly,,Medium
safety,save,safe,unsafe,safely,unsafely,Hard
sand,,sandy,,,,Easy
satisfaction,satisfy,"satisfying, satisfied",,,,Medium
scene,,"scenic, scenical",,scenically,,Medium
scholar,,scholastic,,scholarstically,,Medium
scholarship,,,,,,Easy
science,,scientific,,scientifically,,Medium
security,secure,secure,unsecure,securely,unsecurely,Hard
sense,sense,sensual,,sensually,,Medium
sensivity,sense,sensitive,,,,Medium
service,serve,serving,,,,Medium
settlement,settle,,,,,Easy
shame,shame,"shameful, ashamed",,shamefully,,Medium
shopping,shop,,,,,Easy
shortness,shorten,short,,shortly,,Medium
sickness,,sick,,,,Easy
sight,,,,,,Easy
signature,sign,,,,,Easy
significance,signify,significant,,significantly,,Medium
singer,sing,,,,,Easy
skating,skate,,,,,Easy
skiing,ski,,,,,Easy
skill,,skilful,,skilfully,,Medium
slave,enslave,,,,,Easy
sleep,sleep,sleepy,sleepless,sleepily,sleeplessly,Hard
snow,snow,snowy,,,,Medium
society,socialise,social,unsociable,socially,unsocially,Hard
solution,solve,,,,,Easy
song,sing,singing,,,,Medium
soul,,,,,,Easy
sound,sound,,,,,Easy
speciality,specialise,special,,specially,,Medium
spectacle,spectate,spectacular,,,,Medium
speech,speak,,,,,Easy
spending,spend,,,,,Easy
sponsorship,sponsor,sponsored,,,,Medium
star,star,"starry, starless",,,,Medium
stardom,star,"starry, starless",,,,Medium
starvation,starve,starving,,,,Medium
sterilisation,sterilise,sterelised,,,,Medium
sticker,stick,sticky,,,,Medium
storage,store,,,,,Easy
storm,,stormy,,,,Easy
straightness,straighten,straight,,,,Medium
strength,strengthen,strong,,,,Medium
stress,stress,stressful,,stressfully,,Medium
success,succeed,successful,,successfully,,Medium
sufficiency,,sufficient,,sufficiently,,Medium
suggestion,suggest,,,,,Easy
suitability,suit,suitable,unsuitable,suitably,,Hard
summary,summarise,,,,,Easy
sun,,sunny,,,,Easy
survival,survive,survived,,,,Medium
suspicion,suspect,,,,,Easy
symbol,symbolise,symbolic,,,,Medium
sympathy,sympathise,sympathetic,,,,Medium
talk,talk,talkative,,,,Medium
taste,taste,tasty,,,,Medium
tear,tear,,,,,Easy
technique,,,,,,Easy
technology,,technological,,technologically,,Medium
tendency,tend,,,,,Easy
terror,terrify,"terrified, terrifying",,,,Medium
thankfulness,thank,thankful,,thankfully,,Medium
thickness,thicken,thick,,,,Medium
thirst,,thirsty,,,,Easy
thought,think,thoughtful,,thoughtfully,,Medium
threat,threaten,threatened,,,,Medium
thrill,thrill,"thrilling, thrilled",,,,Medium
tiredness,,"tired, tiresome",,,,Easy
tolerance,tolerate,tolerant,,tolerantly,,Medium
toughness,,tough,,toughly,,Medium
tradition,,traditional,,traditionally,,Medium
training,train,trained,,,,Medium
transformation,transform,,,,,Easy
translation,translate,translated,,,,Medium
travel,travel,,,,,Easy
treatment,treat,,,,,Easy
trust,trust,"trustworthy, trusty, trustful",,,,Medium
truth,,true,untrue,truly,untruly,Hard
type,,typical,untypical,typically,untypically,Hard
understanding,understand,understanding,misunderstanding,understandingly,,Hard
uniqueness,,unique,,uniquely,,Medium
unity,unite,united,,,,Medium
universe,,,,,,Easy
usage,use,useful,useless,usefully,uselessly,Hard
use,use,useful,useless,usefully,uselessly,Hard
value,value,valuable,,,,Medium
valueable,value,valuable,,,,Medium
victim,victimise,,,,,Easy
violence,violate,violent,,violently,,Medium
vision,,,,,,Easy
visitor,visit,,,,,Easy
warmth,warm,warm,,warmly,,Medium
warning,warn,,,,,Easy
weakness,weaken,weak,,weakly,,Medium
wealth,,wealthy,,,,Easy
width,widen,wide,,widely,,Medium
willingness,,willing,unwilling,willingly,unwillingly,Hard
wind,,windy,,,,Easy
wisdom,,wise,unwise,wisely,unwisely,Hard
wonder,wonder,wonderful,,wonderfully,,Medium
writer,write,written,,,,Medium
youth,,young,,,,Easy
